Wavelength in nm,Intensity,,,,,,,,,
632.07144,28.386,,,,,,,,,
632.11055,131.988,,,,,,,,,
632.14967,137.813,,,,,,,,,
632.18878,105.273,,,,,,,,,
632.2279,130.763,,,,,,,,,
632.26702,183.499,,,,,,,,,
632.30615,148.381,,,,,,,,,
632.34528,79.6262,,,,,,,,,
632.3844,48.749,,,,,,,,,
632.42354,26.3756,,,,,,,,,
632.46267,58.6434,,,,,,,,,
632.50181,96.2851,,,,,,,,,
632.54094,121.201,,,,,,,,,
632.58008,152.637,,,,,,,,,
632.61923,167.958,,,,,,,,,
632.65837,130.524,,,,,,,,,
632.69752,103.14,,,,,,,,,
632.73667,114.664,,,,,,,,,
632.77582,94.6512,,,,,,,,,
632.81498,110.994,,,,,,,,,
632.85414,134.708,,,,,,,,,
632.8933,109.21,,,,,,,,,
632.93246,26.6035,,,,,,,,,
632.97162,21.066,,,,,,,,,
633.01079,72.4852,,,,,,,,,
633.04996,52.9885,,,,,,,,,
633.08913,75.0414,,,,,,,,,
633.1283,70.7756,,,,,,,,,
633.16748,62.6847,,,,,,,,,
633.20666,16.0827,,,,,,,,,
633.24584,82.994,,,,,,,,,
633.28502,8.61093,,,,,,,,,
633.32421,43.8084,,,,,,,,,
633.3634,119.42,,,,,,,,,
633.40259,118.878,,,,,,,,,
633.44178,163.417,,,,,,,,,
633.48098,113.746,,,,,,,,,
633.52017,135.548,,,,,,,,,
633.55937,256.349,,,,,,,,,
633.59858,89.1167,,,,,,,,,
633.63778,61.1191,,,,,,,,,
633.67699,5.15798,,,,,,,,,
633.7162,23.31,,,,,,,,,
633.75541,51.9948,,,,,,,,,
633.79462,39.9054,,,,,,,,,
633.83384,142.611,,,,,,,,,
633.87306,100.898,,,,,,,,,
633.91228,142.647,,,,,,,,,
633.9515,162.159,,,,,,,,,
633.99073,140.118,,,,,,,,,
634.02996,97.7977,,,,,,,,,
634.06919,60.9048,,,,,,,,,
634.10842,22.9782,,,,,,,,,
634.14766,84.3714,,,,,,,,,
634.1869,95.7933,,,,,,,,,
634.22614,82.5134,,,,,,,,,
634.26538,64.4328,,,,,,,,,
634.30462,-1.88758,,,,,,,,,
634.34387,126.332,,,,,,,,,
634.38312,125.877,,,,,,,,,
634.42237,46.4836,,,,,,,,,
634.46163,54.726,,,,,,,,,
634.50089,84.7366,,,,,,,,,
634.54014,79.1487,,,,,,,,,
634.57941,67.5212,,,,,,,,,
634.61867,69.6622,,,,,,,,,
634.65794,102.282,,,,,,,,,
634.69721,176.294,,,,,,,,,
634.73648,261.983,,,,,,,,,
634.77575,308.5,,,,,,,,,
